COMPTE_COMPTABLE;DATE_MVT;PIECE_COMPTABLE;MONTANT;SENS;LIBELLE_FACTURE;DATE_REGLEMENT;DATE_ECHEANCE;HICTSA;TYPE_COMPTE;ID_ECRITURE
4015001500;2019-01-01;11066;660.0;C;BFRET;2018-01-26;2021-03-01;S;401;207
4015001510;2019-01-31;30053;75.42;C;FACT;2018-01-29;2019-01-30;S;401;208
4015001740;2019-01-25;20034;2838.0;D;CHQ;2018-01-30;2021-03-01;S;401;209
4015001790;2019-01-01;7051;1418.35;C;SOS;2018-01-26;2021-03-01;S;401;210
4015001830;2019-01-10;70043;351.6;D;CHQ;2018-01-10;2021-03-01;S;401;211
4015002000;2019-01-01;12014;20079.64;C;CETAL;2018-01-15;2021-03-01;S;401;212
4015002040;2019-01-24;30027;1024.1;D;PLVT;2018-01-26;2021-03-01;S;401;213
4015002130;2019-01-07;50002;102.0;C;FACT;2018-01-15;2019-01-07;S;401;214
4015002350;2019-01-01;120001;1520.85;D;RECLT;2018-01-01;2021-03-01;S;401;215
4015002430;2019-01-29;60030;451.34;D;CHQ;2018-01-29;2021-03-01;S;401;216
4015002460;2019-01-31;70060;46.8;D;PLVT;2018-01-31;2021-03-01;S;401;217
4015002490;2019-01-01;39692;1352.4;D;SOLARONICS>20/03/14;2018-01-24;2021-03-01;S;401;218
4015002530;2019-01-01;12028;70.6;C;BIP;2021-03-01;2021-03-01;X;401;219
4015002530;2019-01-07;40016;174.25;C;FACT;2021-03-01;2021-03-01;X;401;220
4015002550;2019-01-01;PLVT;276.0;D;SCI;2018-01-01;2021-03-01;S;401;221
4015002550;2019-01-01;60042;138.0;C;FACTURE;2018-01-01;2019-01-05;S;401;222
4015002620;2019-01-28;80051;103.75;D;CHEQUE;2018-01-28;2021-03-01;S;401;223
4015002630;2019-01-27;70033;2014.75;D;PLVT;2018-01-27;2021-03-01;S;401;224
4015002710;2019-01-01;10020;7829.4;C;INABENSA;2018-01-30;2021-03-01;S;401;225
4015002810;2019-01-01;11022;468.0;C;CABLES;2018-01-06;2021-03-01;S;401;226
4015002860;2019-01-15;60012;105.3;D;CHQ;2018-01-15;2021-03-01;S;401;227
4015002920;2019-01-01;40071;7553.0;C;FACT;2018-01-30;2019-01-01;S;401;228
4015002970;2019-01-01;4003;466.2;C;GRENKE;2018-01-01;2021-03-01;S;401;229
4015002980;2019-01-16;30032;1579.5;C;FACT;2018-01-16;2019-01-01;S;401;230
4015003060;2019-01-05;10005;2880.0;D;CHQ;2018-01-29;2021-03-01;S;401;231
4015003110;2019-01-10;40015;145.2;C;FACTURE;2018-01-29;2019-01-30;S;401;232
"";2019-01-02;40028;238.75;C;FACT;2018-01-26;2019-01-31;S;"";233
"";2019-01-22;60024;181.0;D;CHQ;2021-03-01;2021-03-01;X;"";234
4111000000;2019-01-16;90005;5882.04;D;FACTURE;2019-01-01;2019-01-16;S;411;235
4111000190;2019-01-01;AUCUN;3283.02;C;ANNUL;2018-01-01;2021-03-01;S;411;236
4111000260;2019-01-16;90009;12654.72;D;FACTURE;2019-01-27;2019-01-16;S;411;237
4111000310;2019-01-08;100004;5250.0;D;FACTURE;2018-01-15;2019-01-08;S;411;238
4111000840;2019-01-15;40046;6781.49;C;RCHQ;2018-01-15;2021-03-01;S;411;239
5120700000;2019-01-01;39692;543.25;C;ELE;2018-01-01;2019-01-30;S;512;240
5120700000;2019-01-01;39692;2874.62;C;STEGO>27/03/14;2018-01-01;2019-01-30;S;512;241
5120700000;2019-01-01;39692;662.4;C;EMS>27/03/14;2018-01-01;2019-01-30;S;512;242
5120700000;2019-01-01;39693;283.97;C;SOREVO>27/03/14;2018-01-01;2019-01-30;S;512;243
5120700000;2019-01-01;39693;6099.79;C;CAP;2018-01-01;2019-01-30;S;512;244
5120700000;2019-01-01;39693;594.0;C;QUALISOL>27/03/14;2018-01-01;2019-01-30;S;512;245
5120700000;2019-01-01;39693;367.2;C;AMI>27/03/14;2018-01-01;2019-01-30;S;512;246
5120700000;2019-01-01;39693;1569.41;C;GRAVOPLEX>27/03/14;2018-01-01;2019-01-30;S;512;247
5120700000;2019-01-01;39693;504.0;C;ECW>27/03/14;2018-01-01;2019-01-30;S;512;248
5120700000;2019-01-01;39693;572.88;C;CAE;2018-01-01;2019-01-30;S;512;249
5120700000;2019-01-01;39693;185.18;C;PETROMETALIC>27/03/14;2018-01-01;2019-01-30;S;512;250
5120700000;2019-01-01;39693;4262.96;C;SELPRO>27/03/14;2018-01-01;2019-01-30;S;512;251
5120700000;2019-01-01;39694;187.31;C;CHRONOPOST>27/03/14;2018-01-01;2019-01-30;S;512;252
5120700000;2019-01-01;39694;431.11;C;LYRECO>27/03/14;2018-01-01;2019-01-30;S;512;253
5120700000;2019-01-01;39694;20.09;C;GARAGE;2018-01-01;2019-01-30;S;512;254
4210000000;2019-01-31;80041;13003.09;C;SALAIRES;2018-01-31;2021-03-01;S;421;255
4251900000;2019-01-05;50002;143.38;D;CHQ;2018-01-29;2021-03-01;S;425;256
4253400000;2019-01-01;AUCUN;240.85;C;NDF;2018-01-26;2021-03-01;S;425;257
4370500000;2019-01-29;60027;580.0;D;CHQ;2021-03-01;2021-03-01;X;437;258
4456300000;2019-01-21;10048;40.04;C;AVOIR;2021-03-01;2021-03-01;X;445;259
4456300000;2019-01-31;10014;67.46;D;FACT;2021-03-01;2021-03-01;X;445;260
4456300000;2019-01-23;20045;22.47;D;FACT;2021-03-01;2021-03-01;X;445;261
4456300000;2019-01-13;30024;230.13;D;FACT;2021-03-01;2021-03-01;X;445;262
4456300000;2019-01-30;30061;90.2;D;FACT;2021-03-01;2021-03-01;X;445;263
4456300000;2019-01-01;40036;23.0;D;FACT;2021-03-01;2021-03-01;X;445;264
4456300000;2019-01-22;40005;808.4;D;FACT;2021-03-01;2021-03-01;X;445;265
